resource_id,title,url,annee,type
d9d65ca1-16a3-4ea3-b7c8-2412c92b69d9,lieux-2018.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20191014-112036/lieux-2018.csv,2018,lieux
6eee0852-cbd7-447e-bd70-37c433029405,caracteristiques-2018.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20191014-111741/caracteristiques-2018.csv,2018,caracteristiques
07bfe612-0ad9-48ef-92d3-f5466f8465fe,usagers-2017.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20180927-111153/usagers-2017.csv,2017,usagers
d6103d0c-6db5-466f-b724-91cbea521533,vehicules-2017.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20191104-164430/vehicules-2017.csv,2017,vehicules
9b76a7b6-3eef-4864-b2da-1834417e305c,lieux-2017.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20180927-111131/lieux-2017.csv,2017,lieux
9a7d408b-dd72-4959-ae7d-c854ec505354,caracteristiques-2017.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20180927-111012/caracteristiques-2017.csv,2017,caracteristiques
e4c6f4fe-7c68-4a1d-9bb6-b0f1f5d45526,usagers_2016.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20170915-153940/usagers_2016.csv,2016,usagers
be2191a6-a7cd-446f-a9fc-8d698688eb9e,vehicules_2016.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20170915-153958/vehicules_2016.csv,2016,vehicules
08b77510-39c4-4761-bf02-19457264790f,lieux_2016.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20170915-153921/lieux_2016.csv,2016,lieux
96aadc9f-0b55-4e9a-a70e-c627ed97e6f7,caracteristiques_2016.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20170915-153739/caracteristiques_2016.csv,2016,caracteristiques
b43a4237-9359-4217-b833-8d3dc29a6c24,usagers_2015.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-181344/usagers_2015.csv,2015,usagers
3420157e-7d23-4832-a710-a3a2f2df909c,vehicules_2015.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20161020-154735/vehicules_2015.csv,2015,vehicules
31db21ef-4328-4c5e-bf3d-66a8fe82e6a2,lieux_2015.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-181257/lieux_2015.csv,2015,lieux
185fbdc7-d4c5-4522-888e-ac9550718f71,caracteristiques_2015.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation/20160909-181230/caracteristiques_2015.csv,2015,caracteristiques
457c10ff-ea6c-4238-9af1-d8dc62b896d4,usagers_2014.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-153501/usagers_2014.csv,2014,usagers
86c64436-427f-4042-a4ee-ed0aa31bac76,vehicules_2014.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-153355/vehicules_2014.csv,2014,vehicules
617af155-1b7c-41d6-9504-576878c4d9af,lieux_2014.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-153618/lieux_2014.csv,2014,lieux
85dfe8c6-589f-4e76-8a07-9f59e49ec10d,caracteristiques_2014.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-153701/caracteristiques_2014.csv,2014,caracteristiques
af4349c5-0293-4639-8694-b8b628bfc6c3,usagers_2013.csv,https://static.data.gouv.fr/resources/base-de-donnees-accidents-corporels-de-la-circulation-sur-6-annees/20150806-153902/usagers_2013.csv,2013,usagers
